00:33.872 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:65
00:33.874 OUT,type:DATA_BA,tx:7,rx:24,rssi:-62,movement:1,seqno:183
00:33.889 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:184
00:33.903 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:185
00:34.722 OUT,type:DATA_AA,tx:24,rx:21,rssi:-58,seqno:67
00:34.723 OUT,type:DATA_AA,tx:1,rx:21,rssi:-64,seqno:66
00:34.724 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:66
00:34.740 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:34.740 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:34.741 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:66
00:34.744 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:65
00:34.746 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:183
00:34.751 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:184
00:34.771 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:185
00:35.229 OUT,type:DATA_BA,tx:7,rx:1,rssi:-58,movement:1,seqno:187
00:35.231 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:67
00:35.232 OUT,type:DATA_AB,tx:1,rx:7,rssi:-61,seqno:66
00:35.233 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:67
00:35.234 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:35.235 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:35.574 OUT,type:DATA_AA,tx:21,rx:1,rssi:-64,seqno:67
00:36.326 OUT,type:DATA_AA,tx:24,rx:1,rssi:-60,seqno:67
00:37.230 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:188
00:37.231 OUT,type:DATA_AB,tx:21,rx:7,rssi:-62,seqno:67
00:37.232 OUT,type:DATA_AB,tx:1,rx:7,rssi:-61,seqno:66
00:37.233 OUT,type:DATA_AB,tx:24,rx:7,rssi:-57,seqno:67
00:37.234 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:37.235 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:37.473 OUT,type:DATA_AA,tx:7,rx:21,rssi:-54,seqno:67
00:37.475 OUT,type:DATA_AA,tx:24,rx:21,rssi:-58,seqno:67
00:37.476 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:66
00:37.477 OUT,type:DATA_AB,tx:1,rx:7,rssi:-61,seqno:66
00:37.496 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:66
00:37.497 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:37.498 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:37.499 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:67
00:37.502 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:67
00:37.509 OUT,type:DATA_AB,tx:21,rx:7,rssi:-62,seqno:67
00:37.510 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:255,seqno:186
00:37.518 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:187
00:37.538 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:188
00:38.450 OUT,type:DATA_AA,tx:24,rx:1,rssi:-60,seqno:67
00:39.229 OUT,type:DATA_BA,tx:7,rx:1,rssi:-58,movement:1,seqno:189
00:39.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-62,seqno:67
00:39.231 OUT,type:DATA_AB,tx:1,rx:7,rssi:-61,seqno:66
00:39.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:67
00:39.234 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:39.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:41.229 OUT,type:DATA_BA,tx:7,rx:1,rssi:-61,movement:1,seqno:190
00:41.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-62,seqno:67
00:41.231 OUT,type:DATA_AB,tx:1,rx:7,rssi:-61,seqno:66
00:41.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:67
00:41.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:41.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:41.592 OUT,type:DATA_AA,tx:21,rx:24,rssi:-54,seqno:67
00:41.594 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:66
00:41.615 OUT,type:DATA_AB,tx:1,rx:7,rssi:-61,seqno:66
00:41.616 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:66
00:41.617 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:41.618 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:41.619 OUT,type:DATA_AB,tx:21,rx:7,rssi:-62,seqno:67
00:41.620 OUT,type:DATA_AB,tx:24,rx:7,rssi:-57,seqno:67
00:41.625 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:67
00:41.634 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:255,seqno:186
00:41.635 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:188
00:41.647 OUT,type:DATA_BA,tx:7,rx:24,rssi:-59,movement:1,seqno:189
00:41.664 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:190
00:41.807 OUT,type:FREQ,seqno:67,freq:26,grace:1000
00:42.452 OUT,type:DATA_AA,tx:24,rx:1,rssi:-57,seqno:68
00:42.701 OUT,type:DATA_AA,tx:7,rx:1,rssi:-60,seqno:68
00:42.825 OUT,type:DATA_AA,tx:21,rx:1,rssi:-64,seqno:68
00:43.229 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:191
00:43.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-63,seqno:68
00:43.231 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:67
00:43.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:68
00:43.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:43.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:43.472 OUT,type:DATA_AA,tx:24,rx:21,rssi:-58,seqno:68
00:43.473 OUT,type:DATA_AA,tx:1,rx:21,rssi:-64,seqno:67
00:43.474 OUT,type:DATA_AA,tx:7,rx:21,rssi:-54,seqno:68
00:43.494 OUT,type:DATA_AB,tx:1,rx:7,rssi:-61,seqno:66
00:43.495 OUT,type:DATA_AB,tx:24,rx:7,rssi:-57,seqno:67
00:43.496 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:43.497 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:43.498 OUT,type:DATA_AB,tx:21,rx:7,rssi:-62,seqno:67
00:43.499 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:67
00:43.506 OUT,type:DATA_AB,tx:21,rx:7,rssi:-63,seqno:68
00:43.508 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:189
00:43.519 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:190
